SH,Expanded,Weight
PDN,Police have been notified,10
PDE,Police are enroute,10
PDNE,Police are not yet enroute,10
PDO,Police on scene,10
PDC,Police have cancelled the call,10
FDN,Fire Department Notified,10
HCA,Hot / Cold Weather Advisory - Call Upgraded,10
ERP,Emergency Room Patch,10
ERN,Emergency Room Notified,10
Event,SpecialEvent923,10
UCWA,Use Caution When Approaching,10
Delay,"Crew Delayed, completing admin duty",10
3PTY,Call received from 3rd/4th party (PD/FD) caller,10
ACK,Shift Log Acknowledged,10
BHP,Base Hospital Patch,10
CCC,Call Cancelled by Caller,10
DD,Double Dispatch,10
ED,Emergency Disconnect,10
GIS,Address Information for GIS,10
HOLD,Alert Status - Call being held due to vehicle count,10
ORNGE,Air Ambulance Notified,10
PDW,Crew to stage and wait for PD,10
PS,Paramedic Supervisor Notified,10
PSR,Paramedic Supervisor responding to call,10
RC,Road Closure,10
RHP,Call from Registered Health Professional (Dr's or NH),10
UD,Urgent Disconnect,10
RNE,Patient assessed/treated & referred,10
DNE,Patient assessed/treated & discharged,10
LAM0,Los Angeles Motor Scale - 0,3
LAM1,Los Angeles Motor Scale - 1,3
LAM2,Los Angeles Motor Scale - 2,3
LAM3,Los Angeles Motor Scale - 3,3
LAM4,Los Angeles Motor Scale - 4,10
LAM5,Los Angeles Motor Scale - 5,10
