Unit,Weight,Category
2040,10,Superintendent
2041,10,Superintendent
2042,10,Superintendent
2043,10,Superintendent
2044,10,Superintendent
2045,10,Superintendent
2046,10,Superintendent
2095,10,Superintendent
2096,10,Superintendent
2097,10,Superintendent
2098,10,Superintendent
2099,10,Superintendent
2100,10,Regular
2101,10,Regular
2102,10,Regular
2103,10,Regular
2104,10,Regular
2105,10,Regular
2106,10,Regular
2107,10,Regular
2108,10,Regular
2109,10,Regular
2110,10,Regular
2111,10,Regular
2112,10,Regular
2113,10,Regular
2114,10,Regular
2115,10,Regular
2116,10,Regular
2117,10,Regular
2118,10,Regular
2119,10,Regular
2120,10,Regular
2121,10,Regular
2122,10,Regular
2123,10,Regular
2124,10,Regular
2125,10,Regular
2126,10,Regular
2130,10,Regular
2133,10,Regular
2134,10,Regular
2135,10,Regular
2136,10,Regular
2137,10,Regular
2138,10,Regular
2139,10,Regular
2150,10,Regular
2200,10,Regular
2201,10,Regular
2202,10,Regular
2203,10,Regular
2205,10,Regular
2208,10,Regular
2520,10,Transfer
2521,10,Transfer
2522,10,Transfer
2523,10,Transfer
MRHT,1,Named / Specialist
FIT,1,Named / Specialist
CARE1,1,Named / Specialist
CARE2,1,Named / Specialist
CARE3,1,Named / Specialist
CARE4,1,Named / Specialist
CARE5,1,Named / Specialist
CARE6,1,Named / Specialist
2B01,1,Named / Specialist
