bse_code,base_name,lat,lon
72100,Niagara Falls,43.112649,-79.088989
72101,Ontario,43.158174,79.252737
72102,Linwell ,43.197654,79.232361
72103,Thorold,43.088509,79.199505
72104,NOTL,43.253247,79.066338
72105,Grimsby,43.186578,79.513405
72107,Port Colborne,42.901783,79.242849
72108,King,42.977938,79.250540
72109,Smithville,43.099502,79.547651
72110,Vineland,43.152023,79.389173
72111,Pelham,43.044691,79.298811
72113,Ridgeway,42.884529,79.059275
72115,Glendale,43.159931,79.154590
72116,St Paul,43.132890,79.099461
72117,Fort Erie,42.921095,78.939352
72118,Merritville,43.115569,79.242849
72122,Westwood,43.159931,79.154590
72125,Prince Charles,42.992128,79.261011
