Base,Code,City,Address,Weight
Niagara Falls,72100,Niagara Falls,5685 North St,10
Ontario St,72101,St Catharines,139 Ontario St,10
Linwell,72102,St Catharines,337 Linwell Rd,10
Thorold,72103,Thorold,701 Allanburg Rd,10
NOTL,72104,NOTL,176 Wellington St,10
Grimsby,72105,Grimsby,10 Iroquois Tl,10
Port Colborne,72107,Port Colborne,42 Dolphin St,10
King St,72108,Welland,580 King St,10
Smithville,72109,West Lincoln,110 West ST,10
Vineland,72110,Lincoln,3335 Tallman Dr,8
Pelham,72111,Pelham,117 Highway 20,10
Ridgeway,72113,Fort Erie,148 Ridge Rd S,8
Glendale,72115,NOTL,2 Westwood Ct,10
St Paul,72116,Niagara Falls,2722 St Paul ST,8
Fort Erie,72117,Fort Erie,650 Gilmore Rd,10
Merritville,72118,Thorold,3450 Merritville Hy,8
HQ,72120,NOTL,101 Lampman Ct,5
Fitch St,72121,Welland,200 Fitch St,3
Westwood,72122,NOTL,2 Westwood Ct,5
Fleet,72123,NOTL,2 Westwood Ct,5
Fallsview,72124,Niagara Falls,6380 Fallsview Bv,2
